scoreset,n_samples,mse,rmse,mae,r2
urn:mavedb:00000115-a-25,863,0.014804460918195246,0.12167358348546839,0.08824442310977629,0.804393714460133
urn:mavedb:00000115-a-22,499,0.015356750629681329,0.12392235726325306,0.08385429684669597,0.8839589513819929
urn:mavedb:00000925-a-1,779,0.0165788052190268,0.1287587092938835,0.08660658172628555,0.8415986866779585
urn:mavedb:00000115-a-24,554,0.017177326790763253,0.13106230118063414,0.07356232813350555,0.7607358242635814
urn:mavedb:00000713-a-1,838,0.017733555566484357,0.1331673967849652,0.09098402011692358,0.8269033652893669
urn:mavedb:00000855-a-1,700,0.017881616017656327,0.13372215978534122,0.09785493793796046,0.8649672884516202
urn:mavedb:00000803-a-1,1019,0.018908431342671356,0.13750793192638508,0.10423084653213356,0.8699921104271264
urn:mavedb:00000115-a-26,498,0.019459428523112856,0.13949705560732403,0.10391716382336068,0.9034570226130716
urn:mavedb:00001200-d-1,5401,0.020797727200951657,0.14421417129031272,0.09860824987392054,0.866625486982726
urn:mavedb:00000115-a-8,519,0.021027442784620837,0.14500842315059093,0.08972077451757596,0.7899759918954613
urn:mavedb:00000973-a-1,647,0.022106326568787856,0.14868196450406437,0.10939101163205542,0.8113661186375509
urn:mavedb:00001200-c-1,5402,0.023243049746213645,0.15245671433627855,0.10940926753715574,0.8438954672903131
urn:mavedb:00000115-a-13,359,0.023612139641489175,0.15366242104525482,0.11265852636617543,0.8060576815091902
urn:mavedb:00001107-a-1,995,0.023931054949474388,0.15469665461629864,0.10995947947610255,0.6525184352731221
urn:mavedb:00001121-a-1,476,0.02466700561514999,0.15705733225529456,0.11198973614004766,0.8051815438780907
urn:mavedb:00001200-e-1,5402,0.02472329391557473,0.15723642680872243,0.11259055131626433,0.8448344725782329
urn:mavedb:00000901-a-1,580,0.024899072484096983,0.15779439940662338,0.11529693517703134,0.84264034633013
urn:mavedb:00000115-a-12,499,0.025810392231149986,0.160656130387701,0.11854066885869517,0.8083453559502988
